"gvkey","ticker","permno","conm","state","incorp"
"001021","AFPC",10218,"AFP IMAGING CORP","NY","NY"
"001108","ACX",51510,"PRINCETON HOLDINGS INC","NY","PA"
"001418","ACIX",12619,"TRANSFINANCIAL HOLDINGS INC","KS","DE"
"001418","ACIX",77200,"TRANSFINANCIAL HOLDINGS INC","KS","DE"
"001475","AHO",41734,"AMDURA CORP","CT","DE"
"001544","AQAS",13638,"AMERAC ENERGY CORP","TX","DE"
"001661","AEL",29102,"NABORS INDUSTRIES LTD","",""
"002007","BTX",63511,"FIRST BANKS AMER INC","CA","DE"
"002060","BISC",85842,"BARRISTER GLOBAL SVCS NTWK","LA","DE"
"002070","BASE",17057,"BASE TEN SYSTEMS  -CL A","NJ","NJ"
"002138","BI",29639,"BELL INDUSTRIES INC","IN","CA"
"002176","BKHT",17778,"BERKSHIRE HATHAWAY","NE","DE"
"002237","AA25",18148,"SPHERIX INC  -OLD","NY","DE"
"002433","BNS",42606,"BNS HOLDING CO","RI","DE"
"002800","CAVR",86431,"CARVER CORP/WA","BC","WA"
"002990","CLNC",88208,"IMUNON INC","NJ","DE"
"003288","CMPH",25583,"COMPREHENSIVE CARE CORP","FL","DE"
"003503","BUGS",27124,"COOPER DEVELOPMENT CO","CA","DE"
"003691","OX03",29744,"GT BIOPHARMA INC","CA","DE"
"003785","DTM",63546,"DATARAM CORP - OLD","NJ","NV"
"004182","ESTO",31457,"WORKSAFE INDUSTRIES INC","NY","NY"
"004568","FNL",24918,"FANSTEEL INC/DE","IA","DE"
"004632","PHSM",34666,"LISATA THERAPEUTICS INC","NJ","DE"
"004856","FOUR",37365,"FORUM GROUP INC","VA","IN"
"004933","FRV",66560,"BANYAN CORP","CA","DE"
"005336","GRPI",40062,"ALSERES PHARMACEUTICALS INC","MA","DE"
"005475","HOGI",40970,"HKN INC","TX","DE"
"005750","HVN",65285,"HOVNANIAN ENTRPRS INC  -CL A","NJ","DE"
"006886","MPSG",50543,"MPSI SYSTEMS INC","OK","DE"
"006930","NAP3",79853,"NORTH AMERICAN PALLADIUM","ON",""
"007092","MSCP",51829,"CCUR HOLDINGS INC","GA","DE"
"007694","NSTK",80004,"MARINA BIOTECH INC -OLD","WA","DE"
"007758","NM",53137,"E4L INC","CA","DE"
"007826","BIME",80433,"DONLAR CORP","IL","IL"
"008052","NUMS",58801,"PROGRESSIONS HEALTH SYS INC","CA","DE"
"008062","OAK",34825,"OAK INDUSTRIES INC","MA","DE"
"008428","PGO",60329,"PENGO INDUSTRIES INC","CA","TX"
"008681","PSI",63300,"NORTH HILLS SIGNAL PROCESSNG","NY","DE"
"008838","PYOL",64822,"PYRAMID OIL CO","CA","CA"
"008974","RB",46228,"R & B FALCON CORP","TX","DE"
"009097","REUT",66705,"MAGSTAR TECHNOLOGIES INC","MN","MN"
"009297","RYN",52062,"RYAN HOMES INC","VA","PA"
"009311","SBEI",68145,"SBE INC","CA","DE"
"009501","SCIX",78361,"SUNY CELLULAR COMMUNICATION","",""
"009724","SVRI",70675,"SILICON VALLEY RESEARCH INC","CA","CA"
"010565","TDW",50606,"TIDEWATER INC","TX","DE"
"010734","TMED",77332,"TRIMEDYNE INC","CA","NV"
"010816","USG",79244,"USG CORP","IL","DE"
"010816","USG",19131,"USG CORP","IL","DE"
"011161","VII",61700,"VICON INDUSTRIES INC","NY","NY"
"011318","WAXM",81753,"WAXMAN INDUSTRIES","OH","DE"
"011427","WU",15325,"NEW VALLEY CORP","FL","DE"
"011427","WU",88639,"NEW VALLEY CORP","FL","DE"
"011450","WONE",82668,"WESTWOOD ONE INC  -OLD","NY","DE"
"011644","YNK",63079,"KEY ENERGY SERVICES INC","TX","DE"
"011649","YELL",59483,"YELLOW CORP","TN","DE"
"011670","ZOS",38295,"SPECTRUM BRND HLDG INC","WI","DE"
"011708","GWAY",88285,"FUNCTION(X) INC","NY","DE"
"011729","FFC",68419,"WHITE MTNS INS GROUP LTD","",""
"011738","FMPN",90498,"TRADE STREET RESIDENTIAL INC","FL","MD"
"011866","FOAM",10047,"LAMONTS APPAREL INC","WA","DE"
"011912","CLST",86765,"CST ENTERTAINMENT INC","CA","DE"
"012252","XOMA",10333,"XOMA CORP","CA",""
"012263","MBF",69526,"MAI SYSTEMS CORP","CA","DE"
"012365","ASAA",10418,"ASA INTERNATIONAL LTD","MA","DE"
"012459","RYN",69569,"NVR INC","VA","VA"
"012459","RYN",79785,"NVR INC","VA","VA"
"012593","PRCC",10244,"UNIVERSAL DETECTION TECHNOL","CA","CA"
"012713","CHMX",87656,"ABEONA THERAPEUTICS INC","NY","DE"
"012713","CHMX",23019,"ABEONA THERAPEUTICS INC","NY","DE"
"012757","PHTC",62552,"W WORLD CORP","NV","NV"
"012895","GGLF",75222,"AXIALL CORP","GA","DE"
"012987","VRNG",12017,"XWELL INC","NY",""
"013184","CYTR",10838,"LADRX CORP","CA","DE"
"013338","JAYJ",11344,"JACOBS (JAY) INC","ON","WA"
"013370","AREL",11385,"ENTERPRISE INFORMATICS INC","CA","CA"
"013378","FIBR",11381,"SORRENTO NETWORKS CORP","CA","NJ"
"013460","VDYS",14135,"PEDEVCO CORP","TX","TX"
"013484","AA0T",75549,"SOLIGENIX INC","NJ","DE"
"013484","AA0T",16533,"SOLIGENIX INC","NJ","DE"
"013550","NUT",69534,"HAWAIIAN MCADM NT ORCHRD LP","HI","DE"
"013794","KOOL",11394,"THERMOGENESIS HOLDINGS INC","CA","DE"
"013835","RGLS",13652,"REGULUS THERAPEUTICS INC","CA","DE"
"013868","UFF",75102,"UNIONFED FINANCIAL CORP","CA","DE"
"014292","CAF1",76633,"FURRS RESTAURANT GRP  -CL A","TX","DE"
"014292","CAF1",82792,"FURRS RESTAURANT GRP  -CL A","TX","DE"
"014297","PLM1",75266,"PLM INTERNATIONAL INC","CT","DE"
"014622","NERX",12063,"PONIARD PHARMACEUTICALS INC","WA","WA"
"014628","RXN",75358,"HUNTSMAN POLYMERS CORP","UT","DE"
"014628","RXN",77903,"HUNTSMAN POLYMERS CORP","UT","DE"
"015190","INTA",78690,"COMAMTECH INC -OLD","ON",""
"015215","OVSC",13883,"OVASCIENCE INC","MA","DE"
"015240","URIX",75672,"WESTWATER RESOURCES INC","CO","DE"
"015261","FRCC",12169,"DORAL FINANCIAL CORP","PR","PR"
"015758","BMT",75645,"4-D NEUROIMAGING","CA","CA"
"016480","CORX",75962,"RESPIRERX PHARMACEUTICALS","NJ","DE"
"016972","ANY",14791,"SPHERE 3D CORP","CT",""
"017114","SBIG",69906,"SEIBELS BRUCE GROUP INC","SC","SC"
"017175","DELM",16164,"KINTARA THERAPEUTICS INC","CA","NV"
"017485","DRIO",15961,"DARIOHEALTH CORP","NY","DE"
"017897","QIWI",13941,"QIWI PLC","",""
"017910","HTBX",14051,"SCORPIUS HOLDINGS INC","NC","DE"
"018108","COIN",91893,"FINJAN HOLDINGS INC","CA","DE"
"018161","TANC",14046,"CONATUS PHARMACEUTICALS INC","CA","DE"
"018172","ONTX",14056,"ONCONOVA THERAPEUTICS INC","PA","DE"
"018490","NXTD",14934,"LOGICMARK INC","KY","NV"
"018566","EPCT",91078,"IMMUNE PHARMACEUTICALS INC","NJ","DE"
"018666","CTSC",76908,"ASENSUS SURGICAL INC","NC","DE"
"018738","AA25",18148,"DOMINARI HOLDINGS INC","NY","DE"
"018936","003G",14615,"VITAL THERAPIES INC","CA","DE"
"019117","000Z",14449,"BIOCEPT INC","CA","DE"
"019205","SPDU",92686,"CAPRICOR THERAPEUTICS INC","CA","DE"
"019458","001A",14452,"CARISMA THERAPEUTICS INC","PA","DE"
"019538","STSA",11056,"STERLING FINANCIAL CORP/WA","WA","WA"
"019722","BPMX",15443,"BIOPHARMX CORP","CA","DE"
"019761","CTRV",15219,"HEPION PHARMACEUTICALS INC","NJ","DE"
"020010","005I",14645,"AGILE THERAPEUTICS INC","NJ","DE"
"020037","00AW",14708,"SIGNAL GENETICS INC","CA","DE"
"020135","QTNT",14666,"QUOTIENT LTD","",""
"020530","BABA",14888,"ALIBABA GROUP HLDG","",""
